[GIN] 2019/07/27 - 18:10:59 | 200 |     4.30518ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:10:59 | 304 |     409.738µs |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/07/27 - 18:10:59 | 304 |     348.628µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/07/27 - 18:10:59 | 200 |    1.561592ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:10:59 | 404 |      54.807µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:10:59 | 200 |    6.146727ms |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:11:00 | 302 |      74.695µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:11:00 | 200 |    2.168896ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:11:01 | 404 |      40.378µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:11:02 | 404 |      29.624µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:11:03 | 302 |     770.411µs |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:11:03 | 200 |    3.058961ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:11:03 | 404 |      31.563µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:11:04 | 200 |    1.780701ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:11:04 | 404 |      28.826µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:11:04 | 200 |    2.068723ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:11:04 | 200 |     5.58853ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:11:05 | 404 |      22.688µs |       127.0.0.1 | GET      /static/js/jquery.min.map
[GIN] 2019/07/27 - 18:11:05 | 200 |      488.92µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:11:08 | 200 |     516.901µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:11:08 | 200 |    4.085933ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:11:09 | 200 |    3.660689ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:11:09 | 200 |     194.185µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:11:32 | 200 |    2.980294ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:11:32 | 200 |    1.082314ms |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/07/27 - 18:11:32 | 200 |     169.076µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.css
[GIN] 2019/07/27 - 18:11:32 | 200 |     158.806µs |       127.0.0.1 | GET      /static/libs/bootstrap-tagsinput/css/bootstrap-tagsinput.css
[GIN] 2019/07/27 - 18:11:32 | 200 |     241.155µs |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.css
[GIN] 2019/07/27 - 18:11:32 | 200 |     165.292µs |       127.0.0.1 | GET      /static/images/logo.png
[GIN] 2019/07/27 - 18:11:32 | 200 |       670.1µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/07/27 - 18:11:32 | 200 |     204.765µs |       127.0.0.1 | GET      /static/js/jquery.min.js
[GIN] 2019/07/27 - 18:11:32 | 200 |     206.016µs |       127.0.0.1 | GET      /static/js/tether.min.js
[GIN] 2019/07/27 - 18:11:32 | 200 |     245.571µs |       127.0.0.1 | GET      /static/js/bootstrap.min.js
[GIN] 2019/07/27 - 18:11:32 | 200 |     207.108µs |       127.0.0.1 | GET      /static/libs/bootstrap-sweetalert/sweet-alert.min.js
[GIN] 2019/07/27 - 18:11:32 | 200 |     225.148µs |       127.0.0.1 | GET      /static/libs/switchery/switchery.min.js
[GIN] 2019/07/27 - 18:11:32 | 200 |     152.699µs |       127.0.0.1 | GET      /static/libs/bootstrap-tagsinput/js/bootstrap-tagsinput.js
